id,program,age,gender,socioecoNomic_level,employed,semester,login_frequency,forum_participation,task_submisSions,late_submisSions,connection_time,resource_views,final_grade,dropout
613251021,ASS,1,F,2,Si,2,263,446,26,0, 22.25 , 1.340 ,4.4,No
613251032,ASS,1,F,1,Si,3,144,310,22,0, 17.14 , 955 ,3.8,No
613252011,ASS,1,M,4,No,2,187,202,10,0, 46.05 , 1.235 ,4.6,No
613252024,ASS,1,F,1,No,2,235,261,12,0, 35.10 , 1.559 ,4.5,No
613252009,ASS,1,F,2,No,1,226,253,11,0, 34.20 , 1.529 ,4.5,No
613252003,ASS,1,M,3,Si,2,187,202,10,0, 46.05 , 1.235 ,4.5,No
613252028,ASS,1,F,1,Si,2,212,242,11,1, 32.40 , 1.479 ,4.5,No
613252044,ASS,1,M,1,Si,1,187,202,10,0, 46.05 , 1.235 ,4.7,No
613252010,ASS,1,F,3,No,1,246,291,12,0, 37.50 , 1.678 ,4.5,No
613252020,ASS,1,F,1,No,3,219,234,11,1, 32.45 , 1.433 ,4.3,No
613252025,ASS,1,F,3,No,2,210,219,11,1, 32.10 , 1.427 ,4.7,No
613252050,ASS,1,F,3,No,1,231,293,11,0, 35.08 , 1.639 ,4.3,No
613252035,ASS,1,F,2,No,2,213,222,12,0, 31.20 , 1.371 ,4.2,No
613252018,ASS,1,F,1,No,3,236,267,12,0, 36.12 , 1.591 ,4.7,No
613252002,ASS,1,F,2,No,2,208,274,11,0, 32.40 , 1.440 ,4.2,No
613252004,ASS,0,F,2,No,1,234,254,12,0, 35.43 , 1.551 ,4.7,No
613252015,ASS,1,F,4,No,2,247,277,12,0, 37.30 , 1.648 ,4.6,No
613252013,ASS,1,F,4,No,1,208,274,11,0, 32.40 , 1.440 ,4.5,No
613252013,ASS,1,M,1,Si,2,167,234,8,0, 27.00 , 1.293 ,4.3,No
613252027,ASS,1,F,1,No,4,247,267,12,0, 37.10 , 1.677 ,4.6,No
613252031,ASS,1,M,3,No,4,249,283,12,0, 37.45 , 1.682 ,4.5,No
613252043,ASS,1,F,1,No,4,206,248,11,0, 46.30 , 1.354 ,43,No
613252046,ASS,1,F,4,Si,2,189,214,11,0, 46.05 , 1.271 ,4.7,No
613252049,ASS,1,F,2,Si,4,169,225,8,0, 46.23 , 1.266 ,4.6,No
613252032,ASS,0,F,4,No,2,208,274,11,0, 32.40 , 1.440 ,4.2,No
613252033,ASS,1,F,2,No,4,236,267,12,0, 36.00 , 1.591 ,4.3,No
613252023,ASS,0,F,4,No,1,236,265,12,0, 35.28 , 1.542 ,4.6,No
613252045,ASS,1,M,1,No,3,238,280,12,0, 36.10 , 1.602 ,4.7,No
613252012,ASS,1,F,3,No,4,240,276,12,0, 36.28 , 1.651 ,4.4,No
613252041,ASS,1,F,4,No,2,236,267,12,0, 36.02 , 1.591 ,4.3,No
613252026,ASS,1,F,4,Si,3,60,27,3,1, 10.03 , 460 ,2.2,Si
613252036,ASS,1,M,4,No,2,259,297,12,0, 39.40 , 1.757 ,4.4,No
613252014,ASS,1,F,2,No,2,236,267,12,0, 36.00 , 1.591 ,4.4,No
613252001,ASS,1,F,4,No,4,216,240,12,0, 33.50 , 1.478 ,4.4,No
613252039,ASS,1,M,2,Si,3,33,25,4,1, 12.21 , 551 ,2.6,Si
613252038,ASS,1,F,1,No,1,213,230,11,0, 32.40 , 1.477 ,4.4,No
613252007,ASS,1,F,3,No,2,250,276,12,0, 37.09 , 1.704 ,4.7,No
613252017,ASS,1,M,3,No,2,257,295,12,0, 38.10 , 1.679 ,4.4,No
613252040,ASS,1,M,3,No,3,250,279,12,0, 37.40 , 1.661 ,4.6,No
613252005,ASS,1,F,3,No,2,223,235,12,0, 34.00 , 1.504 ,4.7,No
613252047,ASS,1,F,3,Si,3,189,214,11,0, 46.05 , 1.271 ,4.7,No
613252008,ASS,1,F,1,No,4,236,267,12,0, 36.00 , 1.591 ,4.4,No
613252006,ASS,1,F,2,Si,4,194,232,10,0, 30.20 , 1.372 ,4.6,No
613252021,ASS,1,F,4,No,3,250,270,12,0, 35.38 , 1.596 ,4.4,No
613252029,ASS,1,F,1,No,2,217,255,11,0, 32.25 , 1.434 ,4.4,No
613252030,ASS,1,F,3,No,1,236,267,12,0, 36.02 , 1.591 ,4.4,No
613252048,ASS,1,F,4,No,4,230,246,11,0, 34.45 , 1.588 ,4.5,No
613252022,ASS,1,F,3,No,4,212,238,10,0, 32.00 , 1.498 ,4.4,No
613252016,ASS,1,F,4,No,4,223,235,12,0, 34.00 , 1.504 ,4.8,No
613252019,ASS,1,F,3,No,4,206,238,11,0, 46.23 , 1.414 ,4.4,No
613252042,ASS,1,F,1,No,1,217,246,12,0, 33.30 , 1.428 ,4.4,No
330242033,TRF,1,F,2,No,1,124,493,28,0, 13.50 ,1.159,3.9,No
330242031,TRF,1,F,3,No,4,506,381,18,0, 21.00 ,1.743,4.2,No
330242048,TRF,1,F,1,Si,3,124,411,22,0, 14.50 ,1.235,3.6,No
330242047,TRF,1,F,2,No,2,125,200,16,0, 16.59 ,1.415,3.8,No
330242042,TRF,1,M,3,No,3,278,395,25,0, 41.56 ,1.685,4.6,No
330242049,TRF,1,M,3,No,4,353,312,15,0, 38.40 ,1.733,4.5,No
330242022,TRF,1,M,3,Si,2,198,566,14,0, 31.40 ,1.590,4.1,No
330242033,TRF,1,F,2,No,2,343,508,21,0, 18.28 ,1.318,3.9,No
330242031,TRF,1,F,1,No,3,370,476,19,0, 20.10 ,1.418,3.9,No
330242048,TRF,1,F,2,No,2,56,23,12,1, 16.70 ,945,3.2,Si
330242033,TRF,1,F,1,Si,1,494,341,22,1, 14.60 ,1.380,3.4,No
330242034,TRF,1,F,1,No,3,215,235,31,0, 39.20 ,1.783,4.4,No
330242045,TRF,1,M,2,Si,2,190,215,23,0, 17.40 ,1.563,3.6,No
330242048,TRF,0,F,1,No,4,149,581,26,0, 33.60 ,1.739,4.2,No
330242022,TRF,1,F,2,No,4,375,556,14,0, 16.09 ,1.669,3.7,No
330242034,TRF,1,F,1,No,1,224,256,24,0, 40.20 ,1.514,4.7,No
330242030,TRF,1,M,2,No,1,520,384,17,0, 26.20 ,1.869,4.9,No
330242041,TRF,1,F,3,Si,1,330,471,13,0, 20.30 ,1.741,4.7,No
330242041,TRF,1,M,3,Si,1,207,282,23,0, 24.10 ,1.431,4,No
330242036,TRF,1,M,2,No,3,518,436,37,0, 40.10 ,1.620,4.5,No
330242045,TRF,1,F,1,No,4,101,541,31,0, 27.60 ,1.385,4.1,No
330242026,TRF,1,M,3,No,2,314,467,37,0, 26.10 ,1.674,4.7,No
330242033,TRF,1,F,1,No,1,142,275,25,0, 44.45 ,1.568,4.3,No
330242046,TRF,1,F,2,No,2,447,485,29,0, 40.30 ,1.592,4.4,No
330242035,TRF,1,M,1,No,4,326,567,22,0, 29.00 ,1.455,4.1,No
330242037,TRF,1,M,1,No,1,167,275,35,0, 21.10 ,1.659,4.8,No
330242032,TRF,1,M,2,No,3,302,561,35,0, 23.56 ,1.387,4,No
330242042,TRF,1,F,2,No,4,222,431,27,0, 40.28 ,1.695,4.6,No
330242038,TRF,0,M,1,No,4,255,288,27,0, 37.40 ,1.656,4.9,No
330242027,TRF,1,M,2,Si,4,192,378,18,0, 38.50 ,1.643,4.1,No
330242047,TRF,0,F,2,No,4,435,508,16,0, 44.39 ,1.838,4.1,No
330242032,TRF,1,M,1,No,2,284,492,24,0, 19.10 ,1.770,4.6,No
330242046,TRF,1,F,2,No,3,163,325,23,0, 19.00 ,1.609,3.9,No
330242022,TRF,1,F,1,No,4,180,575,14,0, 15.25 ,1.150,3.3,No
330242042,TRF,0,M,1,Si,2,200,246,11,1, 14.20 ,1.008,3.8,No
330242038,TRF,1,F,2,Si,4,251,359,35,0, 30.30 ,1.587,4,No
330242042,TRF,1,F,3,Si,1,100,542,27,0, 18.25 ,1.200,3.4,No
330242039,TRF,1,F,3,Si,2,48,35,7,3,17.01,254,2.6,Si
330242043,TRF,1,M,2,No,4,312,460,6,0,29.23,1.054,4.3,No
330242027,TRF,1,F,1,Si,1,383,346,25,3,30.13,168,3,No
330242033,TRF,1,F,2,Si,2,480,376,16,0,32.03,1.193,4.6,No
330242047,TRF,1,F,2,Si,3,292,289,15,0,21.14,217,3.6,No
330242034,TRF,1,F,3,Si,1,441,459,16,0,27.15,1.687,4.5,No
330242030,TRF,1,M,3,Si,3,81,255,10,0,10.08,536,4.3,No
330242036,TRF,1,F,2,Si,4,379,400,20,0,29.45,1.777,4.3,No
330242025,TRF,1,M,3,No,3,129,635,6,0,22.13,670,4.3,No
330242032,TRF,1,F,1,Si,2,134,198,31,0,11.12,1.414,4.1,No
330242047,TRF,1,F,2,No,3,225,301,19,1,18.43,280,3.2,No
330242032,TRF,0,F,2,No,4,229,144,30,1,18.23,580,4.2,No
330242046,TRF,1,F,2,No,4,287,189,34,0,25.45,541,4.3,No
330242038,TRF,1,F,3,No,4,302,486,28,1,31.21,574,3.9,No
330242043,TRF,1,M,2,No,1,244,633,6,0,16.01,1.402,4,No
330242034,TRF,1,F,1,Si,3,151,113,33,0,36.12,668,4.1,No
330242026,TRF,1,F,1,Si,1,228,387,34,0,23.04,1.402,4.8,No
330242048,TRF,1,F,2,Si,1,388,200,17,0,15.23,963,4,No
330242046,TRF,1,F,3,Si,3,84,24,9,1,10.01,175,2.3,Si
330242036,TRF,1,M,1,No,1,414,268,32,0,22.34,1.835,5,No
330242042,TRF,1,F,2,No,1,156,365,23,1,27.12,361,3.6,No
330242028,TRF,1,F,1,Si,4,384,556,35,0,14.04,525,4.3,No
330242035,TRF,1,F,1,No,1,75,236,25,0,31.09,1.299,4.7,No
330242029,TRF,1,F,3,Si,1,427,578,10,0,10.23,1.274,3.6,No
330242027,TRF,1,M,2,Si,3,437,354,30,0,15.18,1.823,4.1,No
330242043,TRF,1,M,3,No,3,170,365,17,0,28.23,1.205,4.2,No
330242035,TRF,1,F,1,Si,2,63,601,29,0,13.45,1.654,4.6,No
330242038,TRF,1,F,1,Si,3,448,206,23,0,36.11,1.130,4.7,No
330242034,TRF,1,M,3,Si,1,94,220,15,1,17.25,132,3.7,No
330242037,TRF,0,M,3,No,1,375,605,16,1,13.13,1.868,3.8,No
330242039,TRF,1,F,1,Si,4,80,386,31,0,15.13,523,4.3,No
330242026,TRF,1,M,2,No,2,57,22,8,1,13.25,184,2.6,Si
330242022,TRF,1,F,1,No,1,181,601,26,0,32.12,438,4.3,No
330242045,TRF,1,F,3,No,3,345,308,13,1,13.23,493,3.8,No
330242038,TRF,1,F,1,Si,2,345,362,9,0,18.15,776,4.2,No
330242024,TRF,1,F,2,Si,2,123,494,22,0,20.18,529,4.7,No
330242044,TRF,1,M,2,No,2,42,36,9,2,11.15,934,2.4,Si
330242044,TRF,1,F,1,Si,1,155,240,17,0,25.12,1.423,4.5,No
330242023,TRF,1,M,2,Si,2,192,374,8,0,13.23,1.946,4.7,No
330242028,TRF,1,F,3,No,2,377,167,26,0,13.01,1.823,4.4,No
330242043,TRF,1,F,1,No,4,280,428,27,0,14.05,1.281,4.3,No
330242038,TRF,1,M,1,Si,4,222,164,16,0,26.12,1.718,4.4,No
330242040,TRF,1,F,2,Si,3,313,338,22,0,30.01,822,5,No
330242049,TRF,1,F,3,Si,2,108,385,31,0,37.24,1.843,4.5,No
330242022,TRF,1,M,1,No,1,71,340,21,0,17.12,1.019,4.1,No
330242032,TRF,1,M,1,No,2,204,383,33,0,31.23,1.806,4.6,No
330242027,TRF,1,F,3,No,4,234,434,27,0,27.12,966,5,No
330242026,TRF,1,F,2,No,1,251,344,13,0,12.15,1.743,4.6,No
330242039,TRF,1,F,2,Si,1,92,134,7,0,18.13,1.825,4.6,No
330242034,TRF,1,F,3,No,4,303,370,24,0,25.01,1.446,4.8,No
330242046,TRF,1,F,1,No,4,182,246,31,0,18.17,1.746,4.1,No
330242044,TRF,1,F,3,No,1,38,14,6,1,28.2,820,2.5,Si
330242026,TRF,0,F,3,Si,2,58,264,22,0,10.25,461,3.6,No
330242027,TRF,1,F,2,Si,4,39,18,7,1,31.1,630,2.4,Si
330242036,TRF,1,F,2,Si,1,182,131,35,0,23.18,1.140,3.6,No
330242049,TRF,1,F,1,Si,1,204,373,11,1,22.32,335,3.9,No
330242023,TRF,1,M,1,No,2,349,312,37,0,12.12,484,3.7,No
532819577,TOC,1,M,2,Si,3,373,300,15,0, 18.23 , 945 ,3.9,No
533686853,TOC,1,M,2,No,4,388,563,40,0, 19.00 , 870 ,3.8,No
532999103,TOC,1,F,3,No,2,23,13,6,1, 11.23 , 345 ,2.5,Si
532825639,TOC,1,F,3,No,2,307,327,23,0, 31.50 , 1.245 ,4.1,No
532850160,TOC,1,F,2,No,2,192,530,18,0, 25.40 , 980 ,4,No
533684969,TOC,1,F,3,No,4,517,226,10,0, 33.08 ,1.350,4.3,No
533174681,TOC,1,M,3,No,1,344,258,19,0, 27.40 ,1.200,4.2,No
533311393,TOC,1,F,3,No,4,35,9,6,3, 14.00 , 256 ,2.4,Si
532998033,TOC,1,F,2,No,1,183,394,40,0, 34.50 ,1.560,4.1,No
533413997,TOC,1,M,2,No,4,363,439,28,0, 15.25 ,1.869,3.8,No
533084826,TOC,1,M,3,Si,1,188,462,39,0, 17.28 ,1.624,3.9,No
532788271,TOC,1,F,1,No,4,215,282,31,0, 25.50 ,1.745,4.7,No
532777452,TOC,1,M,2,No,1,222,352,20,0, 14.50 ,1.530,3.8,No
533206252,TOC,1,M,3,No,1,368,310,20,0, 17.00 ,1.463,3.6,No
533561692,TOC,1,M,1,No,3,23,15,7,2, 16.00 , 274 ,2.2,Si
533694523,TOC,1,M,3,Si,2,120,347,38,0, 19.00 ,1.827,3.7,No
533659943,TOC,1,M,3,No,4,425,446,27,0, 27.10 ,1.321,4.7,No
532879873,TOC,1,M,2,No,3,223,496,16,0, 31.30 ,1.500,4.6,No
533284672,TOC,1,M,1,No,1,127,433,32,0, 37.51 ,1.336,4.3,No
533699944,TOC,1,M,2,Si,4,464,99,20,0,36.05,2.004,5,No
533614787,TOC,1,M,3,Si,2,196,137,25,0,28.45,1.758,4.6,No
533409278,TOC,1,M,1,Si,4,146,166,23,0,28.23,502,3.3,No
532865954,TOC,1,M,2,Si,4,227,478,19,0,34.16,686,3.6,No
532802936,TOC,1,M,2,Si,3,479,152,12,0,35.57,1.691,4.2,No
533412412,TOC,1,M,1,Si,1,358,629,6,1,10.12,181,2.4,Si
533231993,TOC,1,M,1,Si,4,155,262,16,0,28.51,1.214,4.1,No
533179634,TOC,1,F,3,No,1,372,530,18,0,30.06,1.803,4.4,No
533334892,TOC,1,M,1,Si,3,461,167,33,1,33.22,1.145,3.6,No
533438245,TOC,1,M,2,Si,1,55,28,8,1,12.03,109,2.4,Si
533610120,TOC,1,M,1,No,1,112,377,10,0,25.19,1.141,3,No
533264303,TOC,1,M,3,No,3,208,386,10,0,37.83,1.216,3.6,No
533562602,TOC,1,F,2,Si,2,66,249,9,1,38.25,207,3.8,No
532998651,TOC,1,F,1,Si,3,378,267,7,0,37.45,512,3.4,No
532915226,TOC,1,M,1,Si,2,109,196,12,1,35.17,580,3.9,No
533683593,TOC,1,F,1,Si,4,352,98,35,1,39.34,1.056,3.5,No
532921900,TOC,1,F,2,Si,2,188,341,21,0,31.01,1.332,4.1,No
533053230,TOC,1,M,3,Si,1,136,136,35,1,24.25,598,3.7,No
532742741,TOC,1,M,3,Si,2,355,626,25,0,31.07,1.868,4.7,No
532939947,TOC,1,F,3,No,2,374,157,31,0,35.54,1.852,4.5,No
533647689,TOC,1,M,2,Si,2,180,115,29,0,34.43,837,5,No
532903862,TOC,1,M,2,Si,3,260,543,10,1,35.18,1.983,5,No
533056620,TOC,1,M,3,No,4,136,596,29,1,33.22,793,4.3,No
533076323,TOC,1,M,3,No,1,460,190,24,0,26.13,1.730,4.5,No
533118483,TOC,1,M,1,Si,3,198,140,14,1,33.35,639,3.8,No
532761537,TOC,1,M,2,Si,2,240,265,6,0,25.26,886,5,No
533172357,TOC,1,M,3,Si,3,88,321,20,0,29.57,1.058,4.3,No
533173271,TOC,1,M,2,Si,4,88,199,15,0,25.5,1.682,4.7,No
533452804,TOC,0,M,2,Si,4,302,364,34,0,36.19,832,4.6,No
533537043,TOC,1,M,3,Si,2,440,515,14,0,37.24,349,4.1,No
533187836,TOC,1,M,2,Si,2,231,135,23,0,33.47,1.097,4.9,No
533539820,TOC,1,M,2,Si,1,200,346,14,0,26.45,1.270,4.2,No
533189322,TOC,1,M,3,Si,3,214,576,15,0,26.15,782,4.3,No
533471213,TOC,1,F,1,Si,1,467,637,33,0,27.51,1.771,4.4,No
533681146,TOC,1,M,3,Si,4,355,122,36,0,36.49,873,4.7,No
533692825,TOC,1,M,2,Si,2,217,144,37,0,36.14,1.491,4.5,No
532848853,TOC,1,M,1,Si,4,45,17,9,1,12.34,171,2.3,Si
532805843,TOC,1,M,2,Si,3,264,537,32,0,38.28,1.431,4.7,No
532756287,TOC,1,M,3,No,3,383,587,37,0,37.42,920,5,No
532896474,TOC,1,F,1,Si,3,141,585,36,0,28.55,1.317,4.3,No
533209202,TOC,1,M,2,Si,4,381,263,8,0,33.05,1.445,4.3,No
532716712,TOC,1,M,1,Si,4,313,405,34,0,30.25,821,4.5,No
532948908,TOC,1,F,2,Si,4,73,153,37,0,24.25,381,3.9,No
533193787,TOC,1,M,2,No,3,237,249,15,0,39.32,486,4.3,No
533758561,TOC,1,M,2,Si,3,74,161,32,0,25.12,1.909,4.2,No
533596820,TOC,1,F,2,Si,2,431,356,31,0,26.44,676,3.8,No
533482744,TOC,1,M,2,Si,4,145,533,22,0,24.28,300,3.2,No
533175351,TOC,1,M,2,Si,2,176,414,25,0,34.35,1.377,3.8,No
533305610,TOC,1,M,2,Si,1,383,485,8,0,28.48,1.786,4.2,No
533335618,TOC,1,M,1,No,3,225,567,18,0,37.36,1.821,4.3,No
533132401,TOC,1,M,3,Si,4,137,600,30,0,33.48,1.345,3.7,No
533558302,TOC,1,M,1,No,3,35,35,6,1,12.05,202,2.6,Si
532713319,TOC,1,F,2,No,2,416,170,30,0,36.48,932,5,No
533700720,TOC,1,F,1,No,3,47,325,13,3,30.08,200,2.5,Si
533242272,TOC,1,F,3,No,3,173,329,30,0,32.44,852,3.6,No
533115075,TOC,1,F,2,No,3,386,172,39,0,28.27,284,3.5,No
533032627,TOC,1,F,3,No,1,220,191,11,0,24.53,1.703,3.9,No
533656826,TOC,1,F,3,Si,1,104,351,22,0,27.39,1.279,3.8,No
532810864,TOC,1,F,3,Si,3,341,318,22,0,38.36,1.460,4.4,No
533173996,TOC,1,M,1,No,3,388,225,27,0,29.56,1.528,4.5,No
533303907,TOC,1,F,2,Si,4,26,352,34,0,39.32,1.108,4.7,No
532845916,TOC,1,F,1,No,1,152,242,27,2,27.25,160,2.4,Si
533568274,TOC,1,M,2,No,2,281,314,34,3,36.38,130,2.3,Si
532883721,TOC,1,F,1,No,3,292,383,8,0,29.45,1.410,4.3,No
533080744,TOC,1,F,1,No,3,232,230,8,1,33.18,388,3.8,No
533062261,TOC,1,F,1,No,2,175,301,31,0,35.12,458,4.3,No
533705744,TOC,1,F,2,No,4,193,355,40,0,39.22,993,4.7,No
533057303,TOC,1,F,3,Si,4,390,314,8,1,36.27,351,3.6,No
533219660,TOC,1,F,1,Si,1,332,179,30,0,39.08,1.586,4.7,No
532741618,TOC,1,F,1,Si,1,146,251,8,0,30.41,1.963,4.6,No
533161229,TOC,1,F,3,No,3,113,159,16,0,34.17,1.115,4,No
532908511,TOC,1,F,2,No,1,34,239,28,0,30.11,1.231,4.3,No
532769132,TOC,1,F,2,No,4,313,211,28,1,31.28,183,3.3,No
532851802,TOC,1,M,1,No,4,147,300,23,0,29.17,1.741,4.7,No
533640381,TOC,1,M,3,Si,2,195,343,34,0,25.51,411,4.2,No
533264944,TOC,1,M,3,Si,4,210,275,30,0,36.1,1.860,4.6,No
533067284,TOC,0,F,1,No,4,349,409,21,0,39.23,1.471,4.6,No
533402725,TOC,0,F,1,No,3,56,167,39,1,32.16,2.010,5,No
533588763,TOC,1,F,2,No,4,38,227,17,0,39.09,1.688,4.3,No
532840178,TOC,1,M,2,No,1,372,320,27,0,27.14,1.102,4.6,No
6132510117,ASS,0,F,2,No,1,51,99,9,0,34.21,1771,5,No
6132510116,ASS,1,M,2,No,1,582,151,11,2,34.4,1870,4,No
6132510116,ASS,0,M,2,No,1,53,73,10,0,34.7,1970,4,No
6132510115,TOCC,1,F,2,Si,2,107,47,12,0,35.07,1069,5,No
6132510115,ASS,1,M,1,Si,2,223,46,12,1,35.3,916,4,No
6132510114,ASS,1,F,1,Si,2,494,135,10,1,35.6,968,4,No
6132510113,ASS,0,F,1,Si,2,579,148,26,1,35.9,1367,4,No
6132510113,ASS,1,M,1,Si,3,485,109,10,0,36.22,1230,4,No
6132510112,ASS,1,M,3,Si,3,430,86,8,0,36.5,980,4,No
6132510112,ASS,1,F,3,Si,4,337,12,21,1,36.7,1250,4,No
6132510111,ASS,1,F,1,No,4,98,170,8,1,37.8,980,3,No
