Genero,PersonaMayor,Socio,Dependientes,Permanencia,ServicioTelefonico,VariasLineas,ServicioInternet,SeguridadLinea,CopiaSeguridadLinea,ProteccionDispositivo,ServicioTecnico,ServicioTV,ServicioPeliculas,Contrato,FacturacionElectronica,MetodoPago,RecargoMensual,TotalRecargo,Abandono
Femenino,0,Si,No,47,Si,Si,Fibra Óptica,No,No,Si,No,Si,Si,Mensual,Si,Cheque Electrónico,100.5,4707.1,No
Masculino,0,No,No,60,Si,Si,Fibra Óptica,No,Si,No,No,Si,No,Mensual,Si,Transferencia bancaria (automática),89.9,5450.7,No
Masculino,0,Si,No,72,No,Sin Servicio Telefónico,DSL,Si,Si,Si,No,No,No,dos anios,No,Transferencia bancaria (automática),42.1,2962.0,No
Femenino,0,Si,Si,18,Si,No,DSL,No,No,Si,Si,No,No,un anio,Si,Tarjeta de crédito (automática),54.4,957.1,No
Femenino,0,No,No,9,Si,Si,Fibra Óptica,No,No,No,No,Si,Si,Mensual,No,Cheque Electrónico,94.4,857.25,Si
Femenino,0,No,No,3,Si,No,DSL,No,Si,No,Si,Si,Si,Mensual,Si,Cheque Electrónico,75.3,244.1,No
Masculino,0,Si,No,47,Si,Si,Fibra Óptica,No,Si,No,No,No,No,un anio,Si,Cheque Electrónico,78.9,3650.35,No
Femenino,0,No,No,31,Si,No,DSL,No,Si,Si,Si,Si,Si,dos anios,No,Cheque por Correo,79.2,2497.2,No
Femenino,0,Si,Si,50,Si,No,No,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,dos anios,No,Transferencia bancaria (automática),20.15,930.9,No
Masculino,0,No,No,10,Si,No,Fibra Óptica,Si,No,Si,No,No,No,Mensual,Si,Cheque por Correo,79.85,887.35,No
Masculino,0,No,No,1,Si,No,DSL,No,No,No,Si,No,No,Mensual,No,Cheque por Correo,49.05,49.05,No
Femenino,0,Si,Si,52,Si,No,No,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,un anio,Si,Cheque Electrónico,20.4,1090.65,No
Masculino,1,Si,Si,64,Si,Si,Fibra Óptica,Si,No,Si,Si,Si,Si,dos anios,Si,Transferencia bancaria (automática),111.6,7099.0,No
Masculino,0,Si,Si,62,Si,Si,No,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,dos anios,Si,Transferencia bancaria (automática),24.25,1424.6,No
Femenino,0,No,Si,3,Si,No,DSL,Si,No,No,Si,No,Si,Mensual,Si,Transferencia bancaria (automática),64.5,177.4,No
Femenino,1,No,No,56,Si,Si,Fibra Óptica,Si,Si,Si,No,Si,Si,un anio,No,Cheque Electrónico,110.5,6139.5,No
Femenino,0,No,No,46,Si,No,DSL,No,No,No,No,No,Si,un anio,No,Tarjeta de crédito (automática),55.65,2688.85,No
Femenino,0,Si,Si,8,Si,No,DSL,Si,Si,No,No,No,No,Mensual,No,Cheque por Correo,54.65,482.25,No
Masculino,1,No,No,30,Si,No,DSL,Si,Si,No,No,Si,Si,Mensual,Si,Cheque Electrónico,74.75,2111.3,No
Femenino,0,Si,Si,45,Si,Si,No,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,un anio,Si,Tarjeta de crédito (automática),25.9,1216.6,No
Femenino,0,No,Si,1,Si,No,Fibra Óptica,No,No,No,No,Si,No,Mensual,Si,Cheque Electrónico,79.35,79.35,Si
Femenino,0,Si,Si,11,No,Sin Servicio Telefónico,DSL,Si,No,No,No,Si,Si,Mensual,No,Cheque Electrónico,50.55,565.35,No
Femenino,0,Si,No,7,Si,No,Fibra Óptica,No,No,Si,No,No,No,Mensual,Si,Transferencia bancaria (automática),75.15,496.9,Si
Femenino,0,No,No,42,Si,No,Fibra Óptica,No,Si,Si,Si,Si,Si,Mensual,Si,Transferencia bancaria (automática),103.8,4327.5,No
Femenino,0,Si,No,49,Si,No,No,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,dos anios,Si,Transferencia bancaria (automática),20.15,973.35,No
Masculino,0,No,No,9,Si,Si,Fibra Óptica,No,Si,No,No,Si,Si,Mensual,Si,Tarjeta de crédito (automática),99.3,918.75,No
Femenino,0,Si,No,35,Si,No,DSL,Si,No,No,No,Si,No,un anio,Si,Transferencia bancaria (automática),62.15,2215.45,No
Femenino,0,Si,Si,48,Si,No,No,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,dos anios,No,Transferencia bancaria (automática),20.65,1057.0,No
Femenino,0,Si,Si,46,Si,No,No,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,dos anios,Si,Cheque por Correo,19.95,927.1,No
Masculino,0,Si,No,29,No,Sin Servicio Telefónico,DSL,No,No,No,No,Si,No,Mensual,No,Cheque por Correo,33.75,1009.25,No
Masculino,0,Si,Si,30,Si,No,Fibra Óptica,No,Si,Si,No,No,No,Mensual,No,Transferencia bancaria (automática),82.05,2570.2,No
Masculino,1,No,No,1,Si,No,Fibra Óptica,No,No,No,Si,No,No,Mensual,No,Cheque Electrónico,74.7,74.7,No
Masculino,0,Si,Si,66,Si,Si,DSL,Si,No,Si,Si,Si,Si,dos anios,Si,Cheque por Correo,84.0,5714.25,No
Femenino,0,No,No,65,Si,Si,Fibra Óptica,Si,Si,Si,No,Si,Si,Mensual,Si,Tarjeta de crédito (automática),111.05,7107.0,No
Masculino,0,No,No,72,Si,Si,Fibra Óptica,No,Si,Si,No,Si,Si,dos anios,Si,Transferencia bancaria (automática),100.9,7459.05,No
Femenino,0,No,No,12,Si,Si,Fibra Óptica,Si,No,No,No,No,No,Mensual,Si,Cheque Electrónico,78.95,927.35,Si
Masculino,0,Si,Si,71,Si,Si,DSL,Si,Si,No,Si,No,No,un anio,Si,Tarjeta de crédito (automática),66.85,4748.7,No
Masculino,0,No,No,5,Si,No,No,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Mensual,No,Cheque por Correo,21.05,113.85,Si
Masculino,0,No,No,52,Si,No,No,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,dos anios,No,Transferencia bancaria (automática),21.0,1107.2,No
Femenino,1,Si,No,25,Si,No,Fibra Óptica,No,Si,Si,No,Si,Si,Mensual,Si,Cheque Electrónico,98.5,2514.5,Si
Masculino,0,No,No,1,Si,No,No,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Mensual,No,Cheque por Correo,20.2,20.2,No
Femenino,0,Si,Si,1,Si,No,No,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Mensual,No,Cheque Electrónico,19.45,19.45,No
Masculino,0,No,No,38,Si,Si,Fibra Óptica,No,No,Si,Si,Si,No,un anio,No,Transferencia bancaria (automática),95.0,3605.6,No
Femenino,1,Si,No,66,No,Sin Servicio Telefónico,DSL,No,Si,Si,No,Si,No,un anio,No,Transferencia bancaria (automática),45.55,3027.25,No
Masculino,0,Si,No,68,Si,Si,Fibra Óptica,No,Si,Si,Si,Si,Si,dos anios,Si,Transferencia bancaria (automática),110.0,7611.85,Si
Masculino,0,No,No,5,No,Sin Servicio Telefónico,DSL,No,No,No,No,No,No,Mensual,No,Cheque por Correo,24.3,100.2,No
Femenino,0,Si,Si,72,Si,Si,Fibra Óptica,Si,Si,No,No,Si,Si,un anio,Si,Cheque Electrónico,104.15,7303.05,No
Femenino,0,No,No,32,No,Sin Servicio Telefónico,DSL,Si,No,No,No,No,No,un anio,No,Cheque por Correo,30.15,927.65,No
Masculino,0,No,No,43,Si,Si,Fibra Óptica,No,No,No,No,Si,Si,un anio,No,Cheque por Correo,94.35,3921.3,No
Masculino,0,Si,Si,72,Si,No,No,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,dos anios,No,Tarjeta de crédito (automática),19.4,1363.25,No
Masculino,0,Si,No,55,Si,Si,Fibra Óptica,Si,Si,No,No,Si,No,Mensual,Si,Cheque Electrónico,96.75,5238.9,Si
Femenino,0,No,No,52,Si,No,DSL,Si,No,Si,Si,No,No,un anio,No,Tarjeta de crédito (automática),57.95,3042.25,No
Femenino,0,No,No,43,Si,No,Fibra Óptica,No,Si,Si,No,Si,No,Mensual,Si,Cheque Electrónico,91.65,3954.1,No
Femenino,1,Si,No,37,Si,Si,Fibra Óptica,No,No,No,No,No,No,Mensual,Si,Cheque Electrónico,76.5,2868.15,Si
Femenino,0,Si,Si,64,No,Sin Servicio Telefónico,DSL,No,Si,No,Si,Si,Si,dos anios,Si,Cheque Electrónico,54.6,3423.5,No
Masculino,0,Si,Si,3,Si,No,Fibra Óptica,Si,Si,No,No,Si,No,Mensual,No,Cheque Electrónico,89.85,248.4,No
Femenino,0,No,No,36,No,Sin Servicio Telefónico,DSL,Si,No,No,No,No,No,dos anios,No,Transferencia bancaria (automática),31.05,1126.35,No
Femenino,0,Si,Si,10,Si,Si,Fibra Óptica,Si,No,No,No,Si,Si,Mensual,Si,Cheque Electrónico,100.25,1064.65,Si
Femenino,0,No,No,41,Si,No,No,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,dos anios,No,Cheque por Correo,20.65,835.15,No
Masculino,0,Si,Si,27,Si,Si,Fibra Óptica,No,Si,No,Si,No,No,Mensual,Si,Tarjeta de crédito (automática),85.2,2151.6,No
Femenino,0,Si,Si,56,Si,Si,Fibra Óptica,No,No,Si,No,Si,Si,un anio,Si,Tarjeta de crédito (automática),99.8,5515.45,No
Femenino,0,No,No,6,Si,No,No,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Mensual,No,Cheque por Correo,20.7,112.75,No
Masculino,0,No,No,3,Si,Si,Fibra Óptica,No,No,No,No,No,No,Mensual,Si,Cheque Electrónico,74.4,229.55,Si
Femenino,0,Si,Si,7,Si,No,DSL,Si,No,No,No,No,No,Mensual,No,Cheque por Correo,50.7,350.35,No
Femenino,0,Si,Si,4,Si,No,No,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Mensual,No,Cheque por Correo,20.85,62.9,No
Masculino,0,No,No,33,Si,No,Fibra Óptica,Si,No,No,Si,Si,No,dos anios,Si,Cheque Electrónico,88.95,3027.65,No
Femenino,1,No,No,27,Si,Si,Fibra Óptica,No,No,Si,No,No,No,Mensual,Si,Cheque Electrónico,78.05,2135.5,Si
Masculino,0,Si,No,72,Si,Si,No,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,dos anios,Si,Transferencia bancaria (automática),23.55,1723.95,No
Masculino,0,No,No,1,Si,No,No,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Mensual,No,Cheque por Correo,19.75,19.75,No
Masculino,1,No,No,71,No,Sin Servicio Telefónico,DSL,Si,Si,No,No,Si,Si,un anio,Si,Cheque Electrónico,56.45,3985.35,No
Femenino,0,No,No,13,Si,Si,Fibra Óptica,No,No,No,No,No,Si,Mensual,Si,Cheque Electrónico,85.95,1215.65,No
Femenino,0,Si,Si,25,No,Sin Servicio Telefónico,DSL,Si,Si,Si,No,Si,Si,Mensual,Si,Tarjeta de crédito (automática),58.6,1502.65,Si
Masculino,0,No,No,67,Si,No,DSL,No,No,No,Si,No,No,dos anios,No,Transferencia bancaria (automática),50.55,3260.1,No
Masculino,0,No,No,1,No,Sin Servicio Telefónico,DSL,No,No,No,No,No,Si,Mensual,Si,Cheque Electrónico,35.45,35.45,Si
Masculino,0,No,No,2,Si,No,DSL,No,No,No,No,No,No,Mensual,No,Cheque Electrónico,44.35,81.25,Si
Femenino,0,No,No,43,Si,Si,No,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,dos anios,Si,Tarjeta de crédito (automática),25.7,1188.2,No
Femenino,0,No,No,23,Si,No,Fibra Óptica,Si,No,No,No,No,No,Mensual,Si,Transferencia bancaria (automática),75.0,1778.5,No
Femenino,0,Si,Si,64,Si,No,No,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,dos anios,No,Cheque por Correo,20.2,1277.75,No
Masculino,0,No,Si,57,Si,No,No,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,dos anios,Si,Cheque por Correo,19.6,1170.55,No
Femenino,1,Si,No,1,Si,No,Fibra Óptica,No,No,No,No,No,No,Mensual,Si,Cheque por Correo,70.45,70.45,Si
Femenino,1,Si,Si,72,Si,Si,DSL,Si,Si,Si,Si,Si,Si,dos anios,Si,Tarjeta de crédito (automática),88.05,6425.65,No
Femenino,0,No,No,8,Si,Si,DSL,Si,No,No,Si,No,Si,Mensual,No,Cheque Electrónico,71.15,563.65,Si
Femenino,0,Si,No,61,Si,Si,Fibra Óptica,No,Si,No,No,Si,Si,dos anios,Si,Transferencia bancaria (automática),101.05,5971.25,No
Masculino,0,No,No,64,Si,Si,Fibra Óptica,Si,Si,No,No,No,No,un anio,Si,Tarjeta de crédito (automática),84.3,5289.05,No
Masculino,1,Si,No,71,Si,Si,No,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,dos anios,No,Transferencia bancaria (automática),23.95,1756.2,No
Femenino,0,Si,Si,65,Si,Si,Fibra Óptica,Si,Si,No,Si,Si,No,dos anios,Si,Tarjeta de crédito (automática),99.05,6416.7,No
Masculino,0,No,No,3,Si,No,No,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,un anio,No,Cheque por Correo,19.6,61.35,No
Masculino,0,No,No,1,Si,No,DSL,No,No,No,No,No,No,Mensual,Si,Cheque Electrónico,45.65,45.65,Si
Masculino,0,No,Si,30,Si,No,DSL,No,Si,Si,No,Si,No,un anio,No,Tarjeta de crédito (automática),64.5,1929.95,No
Masculino,0,Si,Si,15,Si,No,DSL,No,Si,Si,Si,No,Si,Mensual,Si,Cheque por Correo,69.5,1071.4,No
Femenino,0,Si,Si,8,Si,No,DSL,No,No,No,Si,Si,Si,Mensual,Si,Cheque Electrónico,68.55,564.35,No
Masculino,0,No,No,7,Si,Si,Fibra Óptica,No,No,No,No,Si,Si,Mensual,No,Cheque por Correo,95.0,655.5,Si
Femenino,0,Si,Si,70,Si,Si,Fibra Óptica,Si,Si,Si,No,Si,Si,un anio,Si,Tarjeta de crédito (automática),108.15,7930.55,No
Masculino,0,Si,Si,62,Si,No,DSL,Si,Si,Si,Si,Si,Si,dos anios,No,Cheque Electrónico,86.1,5215.25,No
Femenino,0,Si,Si,6,Si,No,No,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Mensual,No,Cheque por Correo,19.7,113.5,No
Femenino,0,Si,Si,14,Si,No,Fibra Óptica,No,No,No,No,No,Si,Mensual,Si,Transferencia bancaria (automática),80.9,1152.8,No
Femenino,0,No,No,22,Si,Si,Fibra Óptica,No,No,No,No,Si,No,Mensual,Si,Transferencia bancaria (automática),84.15,1821.95,No
Masculino,0,Si,Si,22,Si,No,No,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,un anio,No,Cheque por Correo,20.15,419.9,No
Masculino,0,Si,Si,16,Si,No,DSL,Si,No,Si,No,Si,No,dos anios,No,Cheque por Correo,64.25,1024.0,No
Masculino,0,No,No,10,Si,Si,No,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,dos anios,No,Transferencia bancaria (automática),25.7,251.6,No
Femenino,0,No,Si,13,Si,No,DSL,Si,Si,No,No,No,No,Mensual,Si,Cheque Electrónico,56.0,764.55,No
Femenino,0,Si,No,20,Si,Si,Fibra Óptica,Si,No,No,No,No,No,Mensual,No,Cheque Electrónico,82.4,1592.35,Si
Femenino,0,No,No,2,Si,No,Fibra Óptica,No,No,No,No,No,No,Mensual,Si,Cheque Electrónico,69.7,135.2,No
Masculino,0,No,No,53,Si,Si,DSL,No,Si,Si,Si,No,Si,dos anios,Si,Transferencia bancaria (automática),73.9,3958.25,No
Femenino,0,Si,Si,11,Si,No,No,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,un anio,No,Cheque por Correo,20.6,233.9,No
Masculino,0,Si,No,69,Si,No,No,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,dos anios,No,Cheque por Correo,19.9,1363.45,No
Femenino,0,No,No,4,Si,No,Fibra Óptica,No,No,No,No,No,No,Mensual,Si,Transferencia bancaria (automática),70.9,273.0,Si
