id;program;age2;gender;socioeconomic_level;employed;semester;login_frequency;forum_participation;task_submissions;late_submissions;connection_time;resource_views;final_grade;dropout
613252020;ASS;1;F;1;NO;3;219;234;11;1;3245;1433;43;NO
613252025;ASS;1;F;3;NO;2;210;219;11;1;3210;1427;47;NO
613252050;ASS;1;F;3;NO;1;231;293;11;0;3508;1639;43;NO
613252035;ASS;1;F;2;NO;2;213;222;12;0;3120;1371;42;NO
613252018;ASS;1;F;1;NO;3;236;267;12;0;3612;1591;47;NO
613252002;ASS;1;F;2;NO;2;208;274;11;0;3240;1440;42;NO
613252004;ASS;1;F;2;NO;1;234;254;12;0;3543;1551;47;NO
613252015;ASS;1;F;4;NO;2;247;277;12;0;3730;1648;46;NO
613252013;ASS;1;F;4;NO;1;208;274;11;0;3240;1440;45;NO
613252013;ASS;1;M;1;SI;2;167;234;8;0;2700;1293;43;NO
613252027;ASS;1;F;1;NO;4;247;267;12;0;3710;1677;46;NO
613252031;ASS;1;M;3;NO;4;249;283;12;0;3745;1682;45;NO
613252043;ASS;1;F;1;NO;4;206;248;11;0;4630;1354;43;NO
613252046;ASS;1;F;4;SI;2;189;214;11;0;4605;1271;47;NO
613252049;ASS;1;F;2;SI;4;169;225;8;0;4623;1266;46;NO
613252032;ASS;1;F;4;NO;2;208;274;11;0;3240;1440;42;NO
613252033;ASS;1;F;2;NO;4;236;267;12;0;3600;1591;43;NO
613252023;ASS;0;F;4;NO;1;236;265;12;0;3528;1542;46;NO
613252045;ASS;1;M;1;NO;3;238;280;12;0;3610;1602;47;NO
613252012;ASS;1;F;3;NO;4;240;276;12;0;3628;1651;44;NO
613252041;ASS;1;F;4;NO;2;236;267;12;0;3602;1591;43;NO
613252026;ASS;1;F;4;SI;3;60;27;3;1;1003;460;22;SI
613252036;ASS;1;M;4;NO;2;259;297;12;0;3940;1757;44;NO
613252014;ASS;1;F;2;NO;2;236;267;12;0;3600;1591;44;NO
613252001;ASS;1;F;4;NO;4;216;240;12;0;3350;1478;44;NO
613252039;ASS;1;M;2;SI;3;33;25;4;1;1221;551;26;SI
613252038;ASS;1;F;1;NO;1;213;230;11;0;3240;1477;44;NO
613252007;ASS;1;F;3;NO;2;250;276;12;0;3709;1704;47;NO
613252017;ASS;1;M;3;NO;2;257;295;12;0;3810;1679;44;NO
613252040;ASS;1;M;3;NO;3;250;279;12;0;3740;1661;46;NO
613252005;ASS;1;F;3;NO;2;223;235;12;0;3400;1504;47;NO
613252047;ASS;1;F;3;SI;3;189;214;11;0;4605;1271;47;NO
613252008;ASS;1;F;1;NO;4;236;267;12;0;3600;1591;44;NO
613252006;ASS;1;F;2;SI;4;194;232;10;0;3020;1372;46;NO
613252021;ASS;1;F;4;NO;3;250;270;12;0;3538;1596;44;NO
613252029;ASS;1;F;1;NO;2;217;255;11;0;3225;1434;44;NO
613252030;ASS;1;F;3;NO;1;236;267;12;0;3602;1591;44;NO
613252048;ASS;1;F;4;NO;4;230;246;11;0;3445;1588;45;NO
613252022;ASS;1;F;3;NO;4;212;238;10;0;3200;1498;44;NO
613252016;ASS;1;F;4;NO;4;223;235;12;0;3400;1504;48;NO
613252019;ASS;1;F;3;NO;4;206;238;11;0;4623;1414;44;NO
613252042;ASS;1;F;1;NO;1;217;246;12;0;3330;1428;44;NO
330242033;RF;1;F;2;NO;1;124;493;28;0;1350;1159;39;NO
330242031;RF;1;F;3;NO;4;506;381;18;0;2100;1743;42;NO
330242048;RF;1;F;1;SI;3;124;411;22;0;1450;1235;36;NO
330242047;RF;1;F;2;NO;2;125;200;16;0;1659;1415;38;NO
330242042;RF;1;M;3;NO;3;278;395;25;0;4156;1685;46;NO
330242049;RF;1;M;3;NO;4;353;312;15;0;3840;1733;45;NO
330242022;RF;1;M;3;SI;2;198;566;14;0;3140;1590;41;NO
330242033;RF;1;F;2;NO;2;343;508;21;0;1828;1318;39;NO
330242031;RF;1;F;1;NO;3;370;476;19;0;2010;1418;39;NO
330242048;RF;1;F;2;NO;2;56;23;12;1;1670;945;32;SI
330242033;RF;1;F;1;SI;1;494;341;22;1;1460;1380;34;NO
330242034;RF;1;F;1;NO;3;215;235;31;0;3920;1783;44;NO
330242045;RF;1;M;2;SI;2;190;215;23;0;1740;1563;36;NO
330242048;RF;0;F;1;NO;4;149;581;26;0;3360;1739;42;NO
330242022;RF;1;F;2;NO;4;375;556;14;0;1609;1669;37;NO
330242034;RF;1;F;1;NO;1;224;256;24;0;4020;1514;47;NO
330242030;RF;1;M;2;NO;1;520;384;17;0;2620;1869;49;NO
330242041;RF;1;F;3;SI;1;330;471;13;0;2030;1741;47;NO
330242041;RF;1;M;3;SI;1;207;282;23;0;2410;1431;4;NO
330242036;RF;1;M;2;NO;3;518;436;37;0;4010;1620;45;NO
330242045;RF;1;F;1;NO;4;101;541;31;0;2760;1385;41;NO
330242026;RF;1;M;3;NO;2;314;467;37;0;2610;1674;47;NO
330242033;RF;1;F;1;NO;1;142;275;25;0;4445;1568;43;NO
330242046;RF;1;F;2;NO;2;447;485;29;0;4030;1592;44;NO
330242035;RF;1;M;1;NO;4;326;567;22;0;2900;1455;41;NO
330242037;RF;1;M;1;NO;1;167;275;35;0;2110;1659;48;NO
330242032;RF;1;M;2;NO;3;302;561;35;0;2356;1387;4;NO
330242042;RF;1;F;2;NO;4;222;431;27;0;4028;1695;46;NO
330242038;RF;0;M;1;NO;4;255;288;27;0;3740;1656;49;NO
330242027;RF;1;M;2;SI;4;192;378;18;0;3850;1643;41;NO
330242047;RF;0;F;2;NO;4;435;508;16;0;4439;1838;41;NO
330242032;RF;1;M;1;NO;2;284;492;24;0;1910;1770;46;NO
330242046;RF;1;F;2;NO;3;163;325;23;0;1900;1609;39;NO
330242022;RF;1;F;1;NO;4;180;575;14;0;1525;1150;33;NO
330242042;RF;0;M;1;SI;2;200;246;11;1;1420;1008;38;NO
330242038;RF;1;F;2;SI;4;251;359;35;0;3030;1587;4;NO
330242042;RF;1;F;3;SI;1;100;542;27;0;1825;1200;34;NO
330242039;RF;1;F;3;SI;2;48;35;7;3;1701;254;26;SI
330242043;RF;1;M;2;NO;4;312;460;6;0;2923;1054;43;NO
330242027;RF;1;F;1;SI;1;383;346;25;3;3013;168;3;NO
330242033;RF;1;F;2;SI;2;480;376;16;0;3203;1193;46;NO
330242047;RF;1;F;2;SI;3;292;289;15;0;2114;217;36;NO
330242034;RF;1;F;3;SI;1;441;459;16;0;2715;1687;45;NO
330242030;RF;1;M;3;SI;3;81;255;10;0;1008;536;43;NO
330242036;RF;1;F;2;SI;4;379;400;20;0;2945;1777;43;NO
330242025;RF;1;M;3;NO;3;129;635;6;0;2213;670;43;NO
330242032;RF;1;F;1;SI;2;134;198;31;0;1112;1414;41;NO
330242047;RF;1;F;2;NO;3;225;301;19;1;1843;280;32;NO
330242032;RF;1;F;2;NO;4;229;144;30;1;1823;580;42;NO
330242046;RF;1;F;2;NO;4;287;189;34;0;2545;541;43;NO
330242038;RF;1;F;3;NO;4;302;486;28;1;3121;574;39;NO
330242043;RF;1;M;2;NO;1;244;633;6;0;1601;1402;4;NO
330242034;RF;1;F;1;SI;3;151;113;33;0;3612;668;41;NO
330242026;RF;1;F;1;SI;1;228;387;34;0;2304;1402;48;NO
330242048;RF;1;F;2;SI;1;388;200;17;0;1523;963;4;NO
330242046;RF;1;F;3;SI;3;84;24;9;1;1001;175;23;SI
330242036;RF;1;M;1;NO;1;414;268;32;0;2234;1835;5;NO
330242042;RF;1;F;2;NO;1;156;365;23;1;2712;361;36;NO
330242028;RF;1;F;1;SI;4;384;556;35;0;1404;525;43;NO
330242035;RF;1;F;1;NO;1;75;236;25;0;3109;1299;47;NO
330242029;RF;1;F;3;SI;1;427;578;10;0;1023;1274;36;NO
330242027;RF;1;M;2;SI;3;437;354;30;0;1518;1823;41;NO
330242043;RF;1;M;3;NO;3;170;365;17;0;2823;1205;42;NO
330242035;RF;1;F;1;SI;2;63;601;29;0;1345;1654;46;NO
330242038;RF;1;F;1;SI;3;448;206;23;0;3611;1130;47;NO
330242034;RF;1;M;3;SI;1;94;220;15;1;1725;132;37;NO
330242037;RF;1;M;3;NO;1;375;605;16;1;1313;1868;38;NO
330242039;RF;1;F;1;SI;4;80;386;31;0;1513;523;43;NO
330242026;RF;1;M;2;NO;2;57;22;8;1;1325;184;26;SI
330242022;RF;1;F;1;NO;1;181;601;26;0;3212;438;43;NO
330242045;RF;1;F;3;NO;3;345;308;13;1;1323;493;38;NO
330242038;RF;1;F;1;SI;2;345;362;9;0;1815;776;42;NO
330242024;RF;1;F;2;SI;2;123;494;22;0;2018;529;47;NO
330242044;RF;1;M;2;NO;2;42;36;9;2;1115;934;24;SI
330242044;RF;1;F;1;SI;1;155;240;17;0;2512;1423;45;NO
330242023;RF;1;M;2;SI;2;192;374;8;0;1323;1946;47;NO
330242028;RF;1;F;3;NO;2;377;167;26;0;1301;1823;44;NO
330242043;RF;1;F;1;NO;4;280;428;27;0;1405;1281;43;NO
330242038;RF;1;M;1;SI;4;222;164;16;0;2612;1718;44;NO
330242040;RF;1;F;2;SI;3;313;338;22;0;3001;822;5;NO
330242049;RF;1;F;3;SI;2;108;385;31;0;3724;1843;45;NO
330242022;RF;1;M;1;NO;1;71;340;21;0;1712;1019;41;NO
330242032;RF;1;M;1;NO;2;204;383;33;0;3123;1806;46;NO
330242027;RF;1;F;3;NO;4;234;434;27;0;2712;966;5;NO
330242026;RF;0;F;2;NO;1;251;344;13;0;1215;1743;46;NO
330242039;RF;1;F;2;SI;1;92;134;7;0;1813;1825;46;NO
330242034;RF;1;F;3;NO;4;303;370;24;0;2501;1446;48;NO
330242046;RF;1;F;1;NO;4;182;246;31;0;1817;1746;41;NO
330242044;RF;1;F;3;NO;1;38;14;6;1;282;820;25;SI
330242026;RF;1;F;3;SI;2;58;264;22;0;1025;461;36;NO
330242027;RF;1;F;2;SI;4;39;18;7;1;311;630;24;SI
330242036;RF;1;F;2;SI;1;182;131;35;0;2318;1140;36;NO
330242049;RF;1;F;1;SI;1;204;373;11;1;2232;335;39;NO
330242023;RF;1;M;1;NO;2;349;312;37;0;1212;484;37;NO
532819577;TO;1;M;2;SI;3;373;300;15;0;1823;945;39;NO
533686853;TO;1;M;2;NO;4;388;563;40;0;1900;870;38;NO
532999103;TO;1;F;3;NO;2;23;13;6;1;1123;345;25;SI
532825639;TO;1;F;3;NO;2;307;327;23;0;3150;1245;41;NO
532850160;TO;1;F;2;NO;2;192;530;18;0;2540;980;4;NO
533684969;TO;1;F;3;NO;4;517;226;10;0;3308;1350;43;NO
533174681;TO;1;M;3;NO;1;344;258;19;0;2740;1200;42;NO
533311393;TO;1;F;3;NO;4;35;9;6;3;1400;256;24;SI
532998033;TO;1;F;2;NO;1;183;394;40;0;3450;1560;41;NO
533413997;TO;1;M;2;NO;4;363;439;28;0;1525;1869;38;NO
533084826;TO;1;M;3;SI;1;188;462;39;0;1728;1624;39;NO
532788271;TO;1;F;1;NO;4;215;282;31;0;2550;1745;47;NO
532777452;TO;1;M;2;NO;1;222;352;20;0;1450;1530;38;NO
533206252;TO;1;M;3;NO;1;368;310;20;0;1700;1463;36;NO
533561692;TO;1;M;1;NO;3;23;15;7;2;1600;274;22;SI
533694523;TO;1;M;3;SI;2;120;347;38;0;1900;1827;37;NO
533659943;TO;1;M;3;NO;4;425;446;27;0;2710;1321;47;NO
532879873;TO;1;M;2;NO;3;223;496;16;0;3130;1500;46;NO
533284672;TO;1;M;1;NO;1;127;433;32;0;3751;1336;43;NO
533699944;TO;1;M;2;SI;4;464;99;20;0;3605;2004;5;NO
533614787;TO;1;M;3;SI;2;196;137;25;0;2845;1758;46;NO
533409278;TO;1;M;1;SI;4;146;166;23;0;2823;502;33;NO
532865954;TO;1;M;2;SI;4;227;478;19;0;3416;686;36;NO
532802936;TO;1;M;2;SI;3;479;152;12;0;3557;1691;42;NO
533412412;TO;1;M;1;SI;1;358;629;6;1;1012;181;24;SI
533231993;TO;1;M;1;SI;4;155;262;16;0;2851;1214;41;NO
533179634;TO;1;F;3;NO;1;372;530;18;0;3006;1803;44;NO
533334892;TO;1;M;1;SI;3;461;167;33;1;3322;1145;36;NO
533438245;TO;1;M;2;SI;1;55;28;8;1;1203;109;24;SI
533610120;TO;1;M;1;NO;1;112;377;10;0;2519;1141;3;NO
533264303;TO;1;M;3;NO;3;208;386;10;0;3783;1216;36;NO
533562602;TO;1;F;2;SI;2;66;249;9;1;3825;207;38;NO
532998651;TO;1;F;1;SI;3;378;267;7;0;3745;512;34;NO
532915226;TO;1;M;1;SI;2;109;196;12;1;3517;580;39;NO
533683593;TO;1;F;1;SI;4;352;98;35;1;3934;1056;35;NO
532921900;TO;1;F;2;SI;2;188;341;21;0;3101;1332;41;NO
533053230;TO;1;M;3;SI;1;136;136;35;1;2425;598;37;NO
532742741;TO;1;M;3;SI;2;355;626;25;0;3107;1868;47;NO
532939947;TO;1;F;3;NO;2;374;157;31;0;3554;1852;45;NO
533647689;TO;1;M;2;SI;2;180;115;29;0;3443;837;5;NO
532903862;TO;1;M;2;SI;3;260;543;10;1;3518;1983;5;NO
533056620;TO;1;M;3;NO;4;136;596;29;1;3322;793;43;NO
533076323;TO;1;M;3;NO;1;460;190;24;0;2613;1730;45;NO
533118483;TO;1;M;1;SI;3;198;140;14;1;3335;639;38;NO
532761537;TO;1;M;2;SI;2;240;265;6;0;2526;886;5;NO
533172357;TO;1;M;3;SI;3;88;321;20;0;2957;1058;43;NO
533173271;TO;1;M;2;SI;4;88;199;15;0;255;1682;47;NO
533452804;TO;1;M;2;SI;4;302;364;34;0;3619;832;46;NO
533537043;TO;1;M;3;SI;2;440;515;14;0;3724;349;41;NO
533187836;TO;1;M;2;SI;2;231;135;23;0;3347;1097;49;NO
533539820;TO;1;M;2;SI;1;200;346;14;0;2645;1270;42;NO
533189322;TO;1;M;3;SI;3;214;576;15;0;2615;782;43;NO
533471213;TO;1;F;1;SI;1;467;637;33;0;2751;1771;44;NO
533681146;TO;1;M;3;SI;4;355;122;36;0;3649;873;47;NO
533692825;TO;1;M;2;SI;2;217;144;37;0;3614;1491;45;NO
532848853;TO;1;M;1;SI;4;45;17;9;1;1234;171;23;SI
532805843;TO;1;M;2;SI;3;264;537;32;0;3828;1431;47;NO
532756287;TO;1;M;3;NO;3;383;587;37;0;3742;920;5;NO
532896474;TO;1;F;1;SI;3;141;585;36;0;2855;1317;43;NO
533209202;TO;1;M;2;SI;4;381;263;8;0;3305;1445;43;NO
532716712;TO;1;M;1;SI;4;313;405;34;0;3025;821;45;NO
532948908;TO;1;F;2;SI;4;73;153;37;0;2425;381;39;NO
533193787;TO;1;M;2;NO;3;237;249;15;0;3932;486;43;NO
533758561;TO;1;M;2;SI;3;74;161;32;0;2512;1909;42;NO
533596820;TO;1;F;2;SI;2;431;356;31;0;2644;676;38;NO
533482744;TO;1;M;2;SI;4;145;533;22;0;2428;300;32;NO
533175351;TO;1;M;2;SI;2;176;414;25;0;3435;1377;38;NO
533305610;TO;1;M;2;SI;1;383;485;8;0;2848;1786;42;NO
533335618;TO;1;M;1;NO;3;225;567;18;0;3736;1821;43;NO
533132401;TO;1;M;3;SI;4;137;600;30;0;3348;1345;37;NO
533558302;TO;1;M;1;NO;3;35;35;6;1;1205;202;26;SI
532713319;TO;1;F;2;NO;2;416;170;30;0;3648;932;5;NO
533700720;TO;1;F;1;NO;3;47;325;13;3;3008;200;25;SI
533242272;TO;1;F;3;NO;3;173;329;30;0;3244;852;36;NO
533115075;TO;1;F;2;NO;3;386;172;39;0;2827;284;35;NO
533032627;TO;1;F;3;NO;1;220;191;11;0;2453;1703;39;NO
533656826;TO;1;F;3;SI;1;104;351;22;0;2739;1279;38;NO
532810864;TO;1;F;3;SI;3;341;318;22;0;3836;1460;44;NO
533173996;TO;1;M;1;NO;3;388;225;27;0;2956;1528;45;NO
533303907;TO;1;F;2;SI;4;26;352;34;0;3932;1108;47;NO
532845916;TO;1;F;1;NO;1;152;242;27;2;2725;160;24;SI
533568274;TO;1;M;2;NO;2;281;314;34;3;3638;130;23;SI
532883721;TO;1;F;1;NO;3;292;383;8;0;2945;1410;43;NO
533080744;TO;1;F;1;NO;3;232;230;8;1;3318;388;38;NO
533062261;TO;1;F;1;NO;2;175;301;31;0;3512;458;43;NO
533705744;TO;1;F;2;NO;4;193;355;40;0;3922;993;47;NO
533057303;TO;1;F;3;SI;4;390;314;8;1;3627;351;36;NO
533219660;TO;1;F;1;SI;1;332;179;30;0;3908;1586;47;NO
532741618;TO;1;F;1;SI;1;146;251;8;0;3041;1963;46;NO
533161229;TO;1;F;3;NO;3;113;159;16;0;3417;1115;4;NO
532908511;TO;1;F;2;NO;1;34;239;28;0;3011;1231;43;NO
532769132;TO;1;F;2;NO;4;313;211;28;1;3128;183;33;NO
532851802;TO;1;M;1;NO;4;147;300;23;0;2917;1741;47;NO
533640381;TO;1;M;3;SI;2;195;343;34;0;2551;411;42;NO
533264944;TO;1;M;3;SI;4;210;275;30;0;361;1860;46;NO
533067284;TO;0;F;1;NO;4;349;409;21;0;3923;1471;46;NO
533402725;TO;0;F;1;NO;3;56;167;39;1;3216;2010;5;NO
533588763;TO;1;F;2;NO;4;38;227;17;0;3909;1688;43;NO
532840178;TO;1;M;2;NO;1;372;320;27;0;2714;1102;46;NO
6132510117;ASS;1;F;2;NO;1;51;99;9;0;3421;1771;5;NO
6132510116;ASS;1;M;2;NO;1;582;151;11;2;344;1870;4;NO
6132510116;ASS;1;M;2;NO;1;53;73;10;0;347;1970;4;NO
6132510115;TOC;1;F;2;SI;2;107;47;12;0;3507;1069;5;NO
6132510115;ASS;1;M;1;SI;2;223;46;12;1;353;916;4;NO
6132510114;ASS;1;F;1;SI;2;494;135;10;1;356;968;4;NO
6132510113;ASS;1;F;1;SI;2;579;148;26;1;359;1367;4;NO
6132510113;ASS;1;M;1;SI;3;485;109;10;0;3622;1230;4;NO
6132510112;ASS;1;M;3;SI;3;430;86;8;0;365;980;4;NO
6132510112;ASS;1;F;3;SI;4;337;12;21;1;367;1250;4;NO
6132510111;ASS;0;F;1;NO;4;98;170;8;1;378;980;3;NO
