Genero,PersonaMayor,Socio,Dependientes,Permanencia,ServicioTelefonico,VariasLineas,ServicioInternet,SeguridadLinea,ProteccionDispositivo,ServicioTecnico,ServicioTV,ServicioPeliculas,Contrato,FacturacionElectronica,MetodoPago,RecargoMensual,TotalRecargo,Abandono
0,0,0,1,33,1,1.588817693,1.352694107,1,1,0,0,0,0,0,1,1,1,1
1,1,1,0,15,0,0.99852164,-0.594896817,1,0,1,0,0,1,0,0,0,1,1
0,0,1,0,52,0,-1.684631942,-0.418954987,1,0,1,0,0,0,1,1,1,1,0
1,1,0,0,59,1,-0.664841389,1.2898934,0,1,1,0,0,0,0,1,0,0,1
1,0,0,0,34,0,-0.322544599,1.624833161,0,0,1,0,0,0,1,1,1,0,0
1,1,0,1,51,0,-0.366491926,-1.813677335,0,1,0,0,1,1,1,1,0,1,0
0,0,1,1,55,1,-0.034535246,-1.181581216,0,0,0,0,1,0,1,0,0,1,1
1,1,1,1,15,0,1.080898521,-0.506925454,1,1,1,1,1,1,1,1,1,1,1
0,0,1,0,24,0,1.465973834,1.262670849,0,0,1,1,0,0,1,1,0,1,1
0,1,0,0,4,0,0.592344305,1.5825171,0,0,1,0,1,1,0,1,1,1,1
1,0,1,0,16,1,0.048023,0.696376204,1,1,0,0,0,0,0,0,0,0,0
0,1,1,1,60,0,0.384101724,0.507550014,0,0,1,0,0,1,1,1,0,1,0
0,1,1,0,42,0,-1.894388002,-0.69027554,1,1,0,0,1,0,1,0,1,0,0
1,1,1,0,12,1,0.207940501,1.749899328,1,1,0,0,0,0,1,1,0,1,1
1,1,1,1,33,1,0.08266163,-0.818171841,0,0,1,1,0,1,1,1,0,0,1
1,0,0,0,55,1,-0.066480106,1.671745976,0,1,1,1,1,1,1,0,0,1,1
0,1,0,0,49,0,-1.643609694,1.601496448,1,1,1,0,0,0,0,0,1,1,1
0,1,1,1,17,1,0.599432731,0.259432904,1,0,0,1,1,1,0,0,0,1,1
0,1,1,1,3,1,1.552677772,1.524912382,1,0,1,1,0,0,1,0,1,1,0
0,1,0,1,26,1,-1.029923102,-1.664619603,1,0,1,1,1,0,0,0,1,0,1
0,1,0,1,3,0,1.09419863,-1.892863855,1,0,1,0,1,1,1,0,0,0,1
0,0,0,1,2,1,-1.838424282,-1.471215543,0,1,0,1,0,0,0,0,1,1,0
0,1,0,0,46,1,0.379337076,-0.596168837,0,0,0,0,0,1,1,1,0,0,0
1,0,1,0,66,0,0.099483677,1.401778324,0,0,0,1,0,0,1,1,0,1,0
0,0,0,1,14,1,0.479952352,0.328358044,1,1,0,1,0,0,0,1,1,0,1
0,0,0,0,45,1,-0.005775307,-1.154504482,1,0,0,1,1,1,0,1,0,0,0
0,1,0,0,10,0,1.46840084,-1.335731699,1,0,0,1,1,1,0,0,0,1,1
1,1,0,1,62,1,0.816526788,-1.331871404,1,0,0,0,1,1,0,1,0,0,0
0,1,0,1,36,1,1.203320849,-0.700835004,0,1,0,0,0,0,1,0,1,0,1
1,1,0,1,67,0,0.030177674,-0.778815595,1,0,0,1,1,1,1,1,1,1,1
1,0,1,1,23,0,1.37854674,-1.373011244,1,0,1,0,0,1,0,0,1,1,1
1,0,1,0,69,1,-1.745314873,-0.785292998,0,0,0,1,0,0,0,0,0,1,0
1,0,0,0,67,1,-0.139794315,1.280532867,1,1,0,1,0,1,1,1,1,1,1
1,1,0,0,17,1,0.484844121,-1.025544839,1,1,0,0,1,0,1,1,1,0,0
1,1,1,1,60,1,1.330554987,-0.753445763,1,1,0,0,1,1,0,0,0,1,1
1,1,0,1,8,1,-0.773453817,-1.558925245,1,0,1,1,0,0,0,0,1,0,0
0,1,1,1,40,1,-1.86681083,1.888389772,1,0,0,0,0,1,0,1,0,1,1
0,0,1,0,62,0,-0.003069562,-1.981405019,0,0,0,0,0,0,1,1,1,1,0
1,1,0,1,5,1,-0.733207834,1.207508305,0,0,0,1,1,0,1,1,0,1,1
0,0,0,1,41,0,1.137518422,1.807624617,1,0,0,0,1,1,1,1,0,1,1
1,0,0,0,40,0,-1.81007165,-1.16966695,0,0,0,1,0,0,0,0,0,1,0
1,0,0,1,40,1,-0.086238797,1.145083395,0,1,0,1,1,0,0,1,0,1,0
0,0,1,0,65,1,1.427404172,-0.505415173,0,1,1,1,0,0,0,0,1,0,0
0,0,0,1,14,0,-0.05059617,-1.578104336,1,0,0,1,0,0,0,1,0,1,0
0,0,0,0,48,0,-1.755427316,1.007416685,1,0,0,0,1,1,0,1,1,0,0
1,0,1,1,55,0,1.214405648,-1.542401947,0,0,0,1,0,1,0,0,0,1,1
0,1,0,1,12,1,0.266492825,-1.709497369,0,0,1,0,0,1,1,0,0,0,0
1,0,0,1,62,0,-0.962046721,1.458540295,1,0,0,1,1,0,0,1,1,1,0
1,1,0,0,40,0,0.515368299,-1.739645882,1,0,1,0,1,1,1,0,1,1,0
0,0,0,1,20,0,-1.476056487,1.897869385,1,0,1,1,1,0,1,1,1,0,1
1,1,1,1,68,1,0.813696131,1.785289402,1,1,0,1,0,0,0,1,1,0,1
1,1,1,0,68,1,0.29073356,-0.085086493,0,0,0,1,1,0,0,0,0,1,0
0,1,1,0,17,1,-1.779828402,-0.183177829,1,0,0,0,0,0,1,1,1,1,0
1,0,1,0,46,1,1.991978434,1.280468198,0,0,0,0,1,1,1,1,1,1,1
0,0,1,0,35,1,-1.253979428,0.582306603,0,0,1,1,1,0,1,1,0,0,1
0,1,0,0,7,0,1.107993342,0.456672003,0,1,1,1,0,0,0,0,0,1,1
0,0,1,1,25,1,-1.8699715,1.846488475,1,1,0,1,0,1,1,0,0,1,1
0,0,0,1,49,1,0.564914692,1.95698491,1,0,0,0,1,1,1,1,0,1,0
1,0,1,1,15,0,0.862445363,-1.384525654,1,1,1,1,0,0,1,0,0,1,1
0,1,1,1,4,0,-1.570332347,0.933451542,1,1,0,1,0,0,0,1,1,1,0
1,1,1,1,29,1,1.836328193,1.003790779,0,0,0,1,1,0,0,0,1,1,1
1,1,0,1,11,1,0.939921607,1.904736616,1,1,1,0,1,0,1,1,0,0,1
1,0,1,0,39,0,1.713149874,1.768250761,0,1,1,0,1,1,1,1,1,1,0
0,0,1,1,5,1,1.533751997,-0.136097665,1,1,1,1,0,1,0,0,1,0,1
0,0,0,1,24,0,0.725198181,-1.532492052,0,0,0,0,0,1,1,1,1,1,0
0,0,1,1,7,0,1.689491291,1.392975534,0,0,0,0,0,1,1,1,1,1,0
0,0,0,0,44,0,0.29627967,-0.22431882,0,0,0,1,1,0,0,0,1,0,0
1,1,1,1,16,1,0.2230579,0.077764029,0,1,0,1,0,1,0,0,1,0,0
1,1,1,1,60,0,1.192362836,0.045664779,0,1,0,1,1,1,1,1,0,0,0
0,1,1,0,13,1,0.4850575,0.41920834,1,1,0,1,0,0,1,0,1,1,1
1,1,0,0,59,0,1.336252939,0.619396442,0,0,1,1,1,0,1,0,1,1,0
0,0,1,0,60,0,0.03601448,1.295603494,0,1,1,1,1,1,0,0,1,1,1
0,1,0,0,12,0,1.159653915,-0.932626752,0,1,0,1,0,1,1,0,1,1,0
0,0,0,0,32,0,-0.419042998,-1.355730499,1,0,0,1,0,1,0,0,1,1,0
1,0,1,0,43,1,1.431106547,-0.047615948,1,0,1,1,1,0,0,0,0,1,1
1,1,1,1,53,0,1.631728193,1.99734148,0,1,0,1,1,0,0,0,1,1,1
1,0,0,1,50,0,0.861488277,0.430360915,0,0,1,1,1,1,0,1,0,1,1
